Estou com problema no telefone | Caso esteja com problema de telefonia deve entrar em contato com o NFI da Diretoria de Ensino.
Estou com problema na Internet | Caso esteja com duvida de como acessar a internet como aluno ou Professor, basta utilizar o seu email da conta google para a rede SEDUC-ALUNOS e PROFESSORES, caso tenha interesse acesse o manual de orientação <a href="https://drive.google.com/file/d/13iUjxyRKtPRhkTU0wX5VjvZgUlKmRjrU/view?usp=drive_link" target="_blank">Aqui</a>.Mas se a escola esta com problemas de internet então precisamos que envie para o NIT as seguintes informações:CIE da escola, Nome do funcionário da escola, Sobrenome do funcionário da escola, Telefone da Escola, Celular do funcionário da escola, Email da escola e a descrição do problema.
Como acessar a rede de Internet na Escola | Para acessar a rede de Internet na escola, basta seguir esse <a href="https://drive.google.com/file/d/13iUjxyRKtPRhkTU0wX5VjvZgUlKmRjrU/view?usp=drive_link" target="_blank">Material</a>.
Estou com problema no email |  Caso esteja com algum problema de Acesso, o procedimento é abrir um chamado no https://atendimento.educacao.sp.gov.br/ caso queira assistir um video explicativo <a href="https://drive.google.com/file/d/1Nk-epao2d1jSXqeButDnq2gSFYyHpMbL/view?usp=drive_link" target="_blank">Aqui</a>.
Estou com problema de acesso na SED |  Caso esteja com algum problema de Acesso, o procedimento é abrir um chamado no https://atendimento.educacao.sp.gov.br/ caso queira assistit um video explicativo <a href="https://drive.google.com/file/d/1Nk-epao2d1jSXqeButDnq2gSFYyHpMbL/view?usp=drive_link" target="_blank">Aqui</a>.
Estou com problema no SEI | Precisa de acesso para a plataforma SEI, basta solicitar via email para o nit (desumnit@educacao.sp.gov.br).
Estou com problema com os netbooks | Para configurar os netBooks basta seguir o material <a href="https://drive.google.com/file/d/1NZpL38LzJnLSmyZU3MS6IuFVr0fKWbTk/view?usp=drive_link" target="_blank">Aqui</a>.
Estou com problema com a TV | Para configurar as TV da LG na rede de Wifi da escola, basta seguir o material <a href="https://drive.google.com/file/d/1lHO02-vx37qSm_JAsIhZH9JVqRVD0WId/view?usp=drive_link" target="_blank">Nesse Link</a>.
Tablets | Para configurar os Tablets da Positivo, basta seguir o material <a href="https://drive.google.com/file/d/1kOxmzkuIYHGoLHqMDnzu4arRN91QIDNd/view?usp=drive_link" target="_blank">Nesse Link</a>.
Garantias de equipamentos | Caso algum equipamento esteja na garantia, basta seguir esse tutorial <a href="https://drive.google.com/file/d/1vmcdaU8XgLl1AmQfQO7gP8MSJbWs71eO/view?usp=drive_link" target="_blank">Aqui</a> e também pode usar esse outro material <a href="https://drive.google.com/file/d/10Qs7MzyJ1-Xnsl8C6wfRWwBE251YUtIn/view?usp=drive_link" target="_blank">Complementar</a>.
Como abrir chamado no portal de atendimento | Para abrir um chamado no portal de atendimento, acesse o site https://atendimento.educacao.sp.gov.br/. Caso queira assistir um video explicativo <a href="https://drive.google.com/file/d/1Nk-epao2d1jSXqeButDnq2gSFYyHpMbL/view?usp=drive_link" target="_blank">Aqui</a>.
